[488, -325, -58, 124, 54, -93, -45, 76]
[-162, 0, 0, 0, 0, 1, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 1, 0, 0, 1]
[-567, 0, 0, 0, -1, 0, 0, -1]
[-118, 0, 0, 0, 1, 0, 0, 1]
[225, 0, 0, 0, -1, 0, 0, -1]
[115, 0, 0, 0, 1, 0, 0, 1]
[-163, 0, 0, 0, -1, 0, 0, -1]
[-81, 0, 0, 0, 0, 0, 0, 1]
[135, 0, 0, 0, 0, 0, 0, 0]
[801, -1, 0, 1, -1, 0, 0, 0]
[-568, 1, 0, -1, 1, 0, 0, 0]
[-116, -1, 0, 1, -1, 0, 0, 0]
[224, 1, 0, -1, 1, 0, 0, 0]
[116, -1, 0, 1, -1, 0, 0, 0]
[-164, 1, 0, -1, 1, 0, 0, 0]
[-80, 0, 0, 1, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 1, 0, -1, 1, 0, -1, 0]
[-565, -1, 0, 1, -1, 0, 1, 0]
[-119, 1, 0, -1, 1, 0, -1, 0]
[226, -1, 0, 1, -1, 0, 1, 0]
[113, 1, 0, -1, 1, 0, -1, 0]
[-162, -1, 0, 1, -1, 0, 1, 0]
[-81, 0, 0, -1, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[798, 0, 0, 0, 0, 0, 0, 0]
[-565, 0, 0, 0, 0, 0, 0, 0]
[-119, 0, 0, 0, 0, 0, 0, 0]
[227, 0, 0, 0, 0, 0, 0, 0]
[113, 0, 0, 0, 0, 0, 0, 0]
[-162, 0, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 1, 1, 0, 0, 0, 0]
[-567, 0, -1, -1, 0, 0, 0, 0]
[-118, 0, 1, 1, 0, 0, 0, 0]
[225, 0, -1, -1, 0, 0, 0, 0]
[115, 0, 1, 1, 0, 0, 0, 0]
[-163, 0, -1, -1, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[801, 0, 0, 0, 0, -1, 0, 0]
[-568, 0, 0, 0, 0, 1, 0, 0]
[-116, 0, 0, 0, 0, -1, 0, 0]
[224, 0, 0, 0, 0, 1, 0, 0]
[116, 0, 0, 0, 0, -1, 0, 0]
[-164, 0, 0, 0, 0, 1, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, -1, 1, -1, -2, 3, -1, 0]
[-567, 1, -2, 2, 3, -4, 1, 0]
[-117, -1, 2, -2, -3, 4, -1, 0]
[225, 1, -2, 2, 3, -3, 1, 0]
[115, -1, 1, -1, -2, 3, -1, 0]
[-164, 1, -1, 1, 2, -2, 1, 0]
[-80, 0, 1, -1, -1, 2, 0, 0]
[135, 0, 0, 0, 1, -1, 0, 0]
[799, -1, 0, 0, 0, 0, 0, 0]
[-566, 1, 0, 0, 0, 0, 0, 0]
[-118, -1, 0, 0, 0, 0, 0, 0]
[225, 1, 0, 0, 0, 0, 0, 0]
[114, -1, 0, 0, 0, 0, 0, 0]
[-163, 1, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-567, 0, 0, 0, 0, 0, 0, 0]
[-117, 0, 0, 0, 0, 0, 0, 0]
